var_i,var_j,p_i_to_j,p_j_to_i,class_i_to_j,class_j_to_i,pair_relation
adult_pressure,life_stress,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,living_situation,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,loneliness,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,loss_of_balance,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,loss_of_control,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,loss_of_drive,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,loss_of_emotional_control,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,loss_of_energy,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,loss_of_interest,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,low_energy,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,marital_tension,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,mental_demands,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,mental_distraction,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,mental_focus,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,mental_load,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,mental_looping,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,mental_preoccupation,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,mental_rehearsal,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,mental_repetition,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,mental_rumination,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,mental_struggle,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,mental_volatility,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,need_for_control,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,need_for_safety,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,need_for_security,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,negative_interactions,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,negative_outlook_on_future,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,negative_thought_patterns,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,new_environment,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,obligation_overload,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,obligations,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,obsessive_behavior,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,obsessive_thinking,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,occupation,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,operating_capacity,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,painting,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,painting_miniatures,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,parental_volatility,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,past_shaping_present,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,past_trauma,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,patterned_behavior,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,peace,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,perceived_current_environment,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,perceived_failure,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,perceived_lack_of_control,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,perceived_progress_towards_goals,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,perception_of_world,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,perfectionism,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,permanent_tension,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,perpetual_strain,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,persistence,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,persistent_anxiety,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,persistent_sense_of_instability,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,persistent_weight,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,pessimistic_expectations,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,physical_health,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,physical_sensation_of_anxiety,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,physical_symptoms,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,planning_ineffectiveness,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,poor_social_connections,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,poor_work_life_balance,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,pottery_hobby,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,powerlessness,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,preference_for_alone_time,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,preoccupation_with_past,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,pressure_handling_difficulty,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,pressure_sensitivity,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,productivity,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,projected_calm,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,reactive_behavior,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,reflective_thinking,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,regret,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,relationship_stress,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,relaxation,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,relaxation_ability,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,relaxation_difficulty,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,residential_location,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,responsibility,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,restlessness,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,rigid_control,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,role_playing,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,sadness,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,safety_perspective,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,schedule_management,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,security,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,security_concerns,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,security_insecurity,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,security_need,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,self_care,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,self_care_activity,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,self_care_effort,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,self_care_efforts,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,self_control_difficulty,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,self_criticism,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,self_distancing,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,self_distraction,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,self_focus,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,self_identification_with_past_patterns,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,self_management,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,self_perceived_failure,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,self_protection,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,self_protection_patterns,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,self_recognition,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,self_reconciliation,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,self_reflection,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,self_reliance,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,self_sabotaging_behavior,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,sense_of_security,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,sleep_deprivation,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,sleep_disturbance,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,sleep_quality,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,social_anxiety,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,social_commitment,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,social_concealment,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,social_connection,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,social_interaction_impact,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,social_isolation,0.002615,0.000000,low,low,no_supported_connection
adult_pressure,stability,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,stress,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,struggle_to_find_peace,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,struggle_with_contentment,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,struggle_with_peace,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,struggle_with_purpose,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,survival_mode,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,survival_pattern,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,task_focus,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,temperament,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,therapeutic_activity,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,time_demands,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,time_management,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,trauma,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,travel,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,trust_issues,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,uncertainty,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,unhealthy_coping,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,unpredictable_outbursts,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,unrealistic_expectations,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,unsafe_environment,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,unstable_emotional_state,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,upbringing_influence_on_mood,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,vivid_memories,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,void_left_by_childhood,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,volatility,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,vulnerability,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,work_family_obligations,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,work_performance,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,workplace_friction,0.000000,0.000000,low,low,no_supported_connection
adult_pressure,yoga_practice,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,adverse_environmental_factors,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,adversity,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,analytical_thinking,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,anger,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,anxiety,0.010271,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,anxiety_aftermath,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,anxiety_in_adult_relationships,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,atmosphere_management,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,avoidance,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,basic_security,0.000485,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,behavioral_adjustment,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,budget_management,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,burden_absorption,0.000337,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,burnout,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,capacity_to_engage,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,career_demands,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,career_progress,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,career_stress,0.004780,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,chaos_at_home,0.000000,0.016812,low,low,no_supported_connection
adverse_childhood_experiences,chronic_stress,0.025136,0.000000,uncertain,low,uncertain_relation
adverse_childhood_experiences,conflict_avoidance,0.000003,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,contentment,0.002960,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,control,0.000177,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,coping_mechanism,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,creative_activity,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,crisis_anticipation,0.000606,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,crisis_management,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,daily_grind,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,daily_life_balance,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,daily_routine,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,defensiveness,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,demands,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,demands_persistence,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,depression,0.033988,0.000000,uncertain,low,uncertain_relation
adverse_childhood_experiences,desire_for_safety,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,desire_to_engage,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,dietary_changes,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,difficulty_functioning,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,difficulty_pivoting_attention,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,difficulty_self_regulation,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,disconnection_from_past_self,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,disconnection_from_world,0.001500,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,distraction,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,eating_habits,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,embarrassment,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,emotional_bracing,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,emotional_breakdown,0.003303,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,emotional_capacity,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,emotional_carryover,0.000645,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,emotional_cycle,0.001660,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,emotional_disconnection,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,emotional_distress,0.003293,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,emotional_dysregulation,0.057950,0.000000,uncertain,low,uncertain_relation
adverse_childhood_experiences,emotional_emptiness,0.001646,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,emotional_energy,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,emotional_exhaustion,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,emotional_guardedness,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,emotional_heaviness,0.000009,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,emotional_insecurity,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,emotional_instability,0.138386,0.000000,high,low,adverse_childhood_experiences -> emotional_instability
adverse_childhood_experiences,emotional_intensity,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,emotional_management,0.009714,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,emotional_overwhelm,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,emotional_persistence,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,emotional_protection,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,emotional_reactivity,0.000284,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,emotional_recovery,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,emotional_resilience,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,emotional_safety,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,emotional_scarring,0.000087,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,emotional_shutdown,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,emotional_stability,0.000757,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,emotional_struggle,0.001391,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,emotional_suppression,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,emotional_tension,0.000714,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,emotional_triggers,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,emotional_unsettledness,0.000015,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,energy_depletion,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,energy_expenditure,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,energy_level,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,engagement_effort_aversion,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,engagement_in_hobbies,0.000000,0.000000,low,low,no_supported_connection
adverse_childhood_experiences,engagement_with_world,0.000000,0.000000,low,low,no_supported_connection
