source,target,p_edge,edge_class
adult_pressure,emotional_capacity,0.000000,low
adult_pressure,emotional_carryover,0.000000,low
adult_pressure,emotional_cycle,0.000000,low
adult_pressure,emotional_disconnection,0.000000,low
adult_pressure,emotional_distress,0.000000,low
adult_pressure,emotional_dysregulation,0.001660,low
adult_pressure,emotional_emptiness,0.000000,low
adult_pressure,emotional_energy,0.000000,low
adult_pressure,emotional_exhaustion,0.000000,low
adult_pressure,emotional_guardedness,0.000000,low
adult_pressure,emotional_heaviness,0.000000,low
adult_pressure,emotional_insecurity,0.000000,low
adult_pressure,emotional_instability,0.003352,low
adult_pressure,emotional_intensity,0.000000,low
adult_pressure,emotional_management,0.000000,low
adult_pressure,emotional_overwhelm,0.000000,low
adult_pressure,emotional_persistence,0.000000,low
adult_pressure,emotional_protection,0.000000,low
adult_pressure,emotional_reactivity,0.000000,low
adult_pressure,emotional_recovery,0.000000,low
adult_pressure,emotional_resilience,0.000000,low
adult_pressure,emotional_safety,0.000000,low
adult_pressure,emotional_scarring,0.000000,low
adult_pressure,emotional_shutdown,0.000000,low
adult_pressure,emotional_stability,0.000000,low
adult_pressure,emotional_struggle,0.000000,low
adult_pressure,emotional_suppression,0.000000,low
adult_pressure,emotional_tension,0.000000,low
adult_pressure,emotional_triggers,0.000000,low
adult_pressure,emotional_unsettledness,0.000000,low
adult_pressure,energy_depletion,0.000000,low
adult_pressure,energy_expenditure,0.000000,low
adult_pressure,energy_level,0.000000,low
adult_pressure,engagement_effort_aversion,0.000000,low
adult_pressure,engagement_in_hobbies,0.000000,low
adult_pressure,engagement_with_world,0.000000,low
adult_pressure,environmental_change,0.000000,low
adult_pressure,environmental_control,0.000000,low
adult_pressure,environmental_disruption,0.000000,low
adult_pressure,environmental_instability,0.000000,low
adult_pressure,environmental_safety,0.000000,low
adult_pressure,environmental_scanning,0.000000,low
adult_pressure,environmental_stress,0.000000,low
adult_pressure,environmental_unsafety,0.000000,low
adult_pressure,exercise_routine,0.000000,low
adult_pressure,exhaustion,0.000000,low
adult_pressure,external_demands,0.000000,low
adult_pressure,external_pressure,0.000000,low
adult_pressure,family_support,0.000000,low
adult_pressure,fear,0.000000,low
adult_pressure,fear_of_abandonment,0.000000,low
adult_pressure,fear_of_chaos,0.000000,low
adult_pressure,fear_of_failure,0.000000,low
adult_pressure,fear_of_triggering_others,0.000000,low
adult_pressure,fear_of_vulnerability,0.000000,low
adult_pressure,feeling_trapped,0.000000,low
adult_pressure,feeling_unsafe,0.000000,low
adult_pressure,feeling_unsupported,0.000000,low
adult_pressure,financial_stress,0.000000,low
adult_pressure,focus,0.000000,low
adult_pressure,functional_impairment,0.000000,low
adult_pressure,gardening_hobby,0.000000,low
adult_pressure,geographic_location,0.000000,low
adult_pressure,geographic_relocation,0.000000,low
adult_pressure,health_consciousness,0.000000,low
adult_pressure,high_alert_state,0.000000,low
adult_pressure,home_environmental_stress,0.000000,low
adult_pressure,hopelessness,0.000000,low
adult_pressure,impulsivity,0.000000,low
adult_pressure,independent_living,0.000000,low
adult_pressure,insecurity,0.000000,low
adult_pressure,instability,0.000000,low
adult_pressure,instability_in_early_years,0.000000,low
adult_pressure,internal_alarm_management,0.000000,low
adult_pressure,internal_conflict,0.000000,low
adult_pressure,internal_instability,0.000000,low
adult_pressure,internal_map,0.000000,low
adult_pressure,internal_momentum,0.000000,low
adult_pressure,internal_noise,0.000000,low
adult_pressure,internal_restlessness,0.000000,low
adult_pressure,internal_strain,0.000000,low
adult_pressure,internalized_negativity,0.000000,low
adult_pressure,internalized_threat_response,0.000000,low
adult_pressure,intrusive_thoughts,0.000000,low
adult_pressure,lack_of_control,0.000000,low
adult_pressure,lack_of_peace,0.000000,low
adult_pressure,lack_of_purpose,0.000000,low
adult_pressure,lack_of_safety,0.000000,low
adult_pressure,life_changes,0.000000,low
adult_pressure,life_demand_balance,0.000000,low
adult_pressure,life_demands,0.000000,low
adult_pressure,life_stress,0.000000,low
adult_pressure,living_situation,0.000000,low
adult_pressure,loneliness,0.000000,low
adult_pressure,loss_of_balance,0.000000,low
adult_pressure,loss_of_control,0.000000,low
adult_pressure,loss_of_drive,0.000000,low
adult_pressure,loss_of_emotional_control,0.000000,low
adult_pressure,loss_of_energy,0.000000,low
adult_pressure,loss_of_interest,0.000000,low
adult_pressure,low_energy,0.000000,low
adult_pressure,marital_tension,0.000000,low
adult_pressure,mental_demands,0.000000,low
adult_pressure,mental_distraction,0.000000,low
adult_pressure,mental_focus,0.000000,low
adult_pressure,mental_load,0.000000,low
adult_pressure,mental_looping,0.000000,low
adult_pressure,mental_preoccupation,0.000000,low
adult_pressure,mental_rehearsal,0.000000,low
adult_pressure,mental_repetition,0.000000,low
adult_pressure,mental_rumination,0.000000,low
adult_pressure,mental_struggle,0.000000,low
adult_pressure,mental_volatility,0.000000,low
adult_pressure,need_for_control,0.000000,low
adult_pressure,need_for_safety,0.000000,low
adult_pressure,need_for_security,0.000000,low
adult_pressure,negative_interactions,0.000000,low
adult_pressure,negative_outlook_on_future,0.000000,low
adult_pressure,negative_thought_patterns,0.000000,low
adult_pressure,new_environment,0.000000,low
adult_pressure,obligation_overload,0.000000,low
adult_pressure,obligations,0.000000,low
adult_pressure,obsessive_behavior,0.000000,low
adult_pressure,obsessive_thinking,0.000000,low
adult_pressure,occupation,0.000000,low
adult_pressure,operating_capacity,0.000000,low
adult_pressure,painting,0.000000,low
adult_pressure,painting_miniatures,0.000000,low
adult_pressure,parental_volatility,0.000000,low
adult_pressure,past_shaping_present,0.000000,low
adult_pressure,past_trauma,0.000000,low
adult_pressure,patterned_behavior,0.000000,low
adult_pressure,peace,0.000000,low
adult_pressure,perceived_current_environment,0.000000,low
adult_pressure,perceived_failure,0.000000,low
adult_pressure,perceived_lack_of_control,0.000000,low
adult_pressure,perceived_progress_towards_goals,0.000000,low
adult_pressure,perception_of_world,0.000000,low
adult_pressure,perfectionism,0.000000,low
adult_pressure,permanent_tension,0.000000,low
adult_pressure,perpetual_strain,0.000000,low
adult_pressure,persistence,0.000000,low
adult_pressure,persistent_anxiety,0.000000,low
adult_pressure,persistent_sense_of_instability,0.000000,low
adult_pressure,persistent_weight,0.000000,low
adult_pressure,pessimistic_expectations,0.000000,low
adult_pressure,physical_health,0.000000,low
adult_pressure,physical_sensation_of_anxiety,0.000000,low
adult_pressure,physical_symptoms,0.000000,low
adult_pressure,planning_ineffectiveness,0.000000,low
adult_pressure,poor_social_connections,0.000000,low
adult_pressure,poor_work_life_balance,0.000000,low
adult_pressure,pottery_hobby,0.000000,low
adult_pressure,powerlessness,0.000000,low
adult_pressure,preference_for_alone_time,0.000000,low
adult_pressure,preoccupation_with_past,0.000000,low
adult_pressure,pressure_handling_difficulty,0.000000,low
adult_pressure,pressure_sensitivity,0.000000,low
adult_pressure,productivity,0.000000,low
adult_pressure,projected_calm,0.000000,low
adult_pressure,reactive_behavior,0.000000,low
adult_pressure,reflective_thinking,0.000000,low
adult_pressure,regret,0.000000,low
adult_pressure,relationship_stress,0.000000,low
adult_pressure,relaxation,0.000000,low
adult_pressure,relaxation_ability,0.000000,low
adult_pressure,relaxation_difficulty,0.000000,low
adult_pressure,residential_location,0.000000,low
adult_pressure,responsibility,0.000000,low
adult_pressure,restlessness,0.000000,low
adult_pressure,rigid_control,0.000000,low
adult_pressure,role_playing,0.000000,low
adult_pressure,sadness,0.000000,low
adult_pressure,safety_perspective,0.000000,low
adult_pressure,schedule_management,0.000000,low
adult_pressure,security,0.000000,low
adult_pressure,security_concerns,0.000000,low
adult_pressure,security_insecurity,0.000000,low
adult_pressure,security_need,0.000000,low
adult_pressure,self_care,0.000000,low
adult_pressure,self_care_activity,0.000000,low
adult_pressure,self_care_effort,0.000000,low
adult_pressure,self_care_efforts,0.000000,low
adult_pressure,self_control_difficulty,0.000000,low
adult_pressure,self_criticism,0.000000,low
adult_pressure,self_distancing,0.000000,low
adult_pressure,self_distraction,0.000000,low
adult_pressure,self_focus,0.000000,low
adult_pressure,self_identification_with_past_patterns,0.000000,low
adult_pressure,self_management,0.000000,low
adult_pressure,self_perceived_failure,0.000000,low
adult_pressure,self_protection,0.000000,low
adult_pressure,self_protection_patterns,0.000000,low
adult_pressure,self_recognition,0.000000,low
adult_pressure,self_reconciliation,0.000000,low
adult_pressure,self_reflection,0.000000,low
adult_pressure,self_reliance,0.000000,low
adult_pressure,self_sabotaging_behavior,0.000000,low
adult_pressure,sense_of_security,0.000000,low
adult_pressure,sleep_deprivation,0.000000,low
adult_pressure,sleep_disturbance,0.000000,low
adult_pressure,sleep_quality,0.000000,low
adult_pressure,social_anxiety,0.000000,low
adult_pressure,social_commitment,0.000000,low
adult_pressure,social_concealment,0.000000,low
adult_pressure,social_connection,0.000000,low
adult_pressure,social_interaction_impact,0.000000,low
adult_pressure,social_isolation,0.002615,low
adult_pressure,stability,0.000000,low
adult_pressure,stress,0.000000,low
adult_pressure,struggle_to_find_peace,0.000000,low
adult_pressure,struggle_with_contentment,0.000000,low
adult_pressure,struggle_with_peace,0.000000,low
adult_pressure,struggle_with_purpose,0.000000,low
adult_pressure,survival_mode,0.000000,low
adult_pressure,survival_pattern,0.000000,low
adult_pressure,task_focus,0.000000,low
adult_pressure,temperament,0.000000,low
adult_pressure,therapeutic_activity,0.000000,low
adult_pressure,time_demands,0.000000,low
adult_pressure,time_management,0.000000,low
adult_pressure,trauma,0.000000,low
adult_pressure,travel,0.000000,low
adult_pressure,trust_issues,0.000000,low
adult_pressure,uncertainty,0.000000,low
adult_pressure,unhealthy_coping,0.000000,low
adult_pressure,unpredictable_outbursts,0.000000,low
adult_pressure,unrealistic_expectations,0.000000,low
adult_pressure,unsafe_environment,0.000000,low
adult_pressure,unstable_emotional_state,0.000000,low
adult_pressure,upbringing_influence_on_mood,0.000000,low
adult_pressure,vivid_memories,0.000000,low
adult_pressure,void_left_by_childhood,0.000000,low
adult_pressure,volatility,0.000000,low
adult_pressure,vulnerability,0.000000,low
adult_pressure,work_family_obligations,0.000000,low
adult_pressure,work_performance,0.000000,low
adult_pressure,workplace_friction,0.000000,low
adult_pressure,yoga_practice,0.000000,low
adverse_childhood_experiences,adult_pressure,0.002704,low
adverse_childhood_experiences,adverse_environmental_factors,0.000000,low
adverse_childhood_experiences,adversity,0.000000,low
adverse_childhood_experiences,analytical_thinking,0.000000,low
adverse_childhood_experiences,anger,0.000000,low
adverse_childhood_experiences,anxiety,0.010271,low
adverse_childhood_experiences,anxiety_aftermath,0.000000,low
adverse_childhood_experiences,anxiety_in_adult_relationships,0.000000,low
adverse_childhood_experiences,atmosphere_management,0.000000,low
adverse_childhood_experiences,avoidance,0.000000,low
adverse_childhood_experiences,basic_security,0.000485,low
adverse_childhood_experiences,behavioral_adjustment,0.000000,low
adverse_childhood_experiences,budget_management,0.000000,low
adverse_childhood_experiences,burden_absorption,0.000337,low
adverse_childhood_experiences,burnout,0.000000,low
adverse_childhood_experiences,capacity_to_engage,0.000000,low
adverse_childhood_experiences,career_demands,0.000000,low
adverse_childhood_experiences,career_progress,0.000000,low
adverse_childhood_experiences,career_stress,0.004780,low
adverse_childhood_experiences,chaos_at_home,0.000000,low
adverse_childhood_experiences,chronic_stress,0.025136,uncertain
adverse_childhood_experiences,conflict_avoidance,0.000003,low
adverse_childhood_experiences,contentment,0.002960,low
adverse_childhood_experiences,control,0.000177,low
adverse_childhood_experiences,coping_mechanism,0.000000,low
adverse_childhood_experiences,creative_activity,0.000000,low
adverse_childhood_experiences,crisis_anticipation,0.000606,low
adverse_childhood_experiences,crisis_management,0.000000,low
adverse_childhood_experiences,daily_grind,0.000000,low
adverse_childhood_experiences,daily_life_balance,0.000000,low
adverse_childhood_experiences,daily_routine,0.000000,low
adverse_childhood_experiences,defensiveness,0.000000,low
adverse_childhood_experiences,demands,0.000000,low
adverse_childhood_experiences,demands_persistence,0.000000,low
adverse_childhood_experiences,depression,0.033988,uncertain
adverse_childhood_experiences,desire_for_safety,0.000000,low
adverse_childhood_experiences,desire_to_engage,0.000000,low
adverse_childhood_experiences,dietary_changes,0.000000,low
adverse_childhood_experiences,difficulty_functioning,0.000000,low
adverse_childhood_experiences,difficulty_pivoting_attention,0.000000,low
adverse_childhood_experiences,difficulty_self_regulation,0.000000,low
adverse_childhood_experiences,disconnection_from_past_self,0.000000,low
adverse_childhood_experiences,disconnection_from_world,0.001500,low
adverse_childhood_experiences,distraction,0.000000,low
adverse_childhood_experiences,eating_habits,0.000000,low
adverse_childhood_experiences,embarrassment,0.000000,low
adverse_childhood_experiences,emotional_bracing,0.000000,low
adverse_childhood_experiences,emotional_breakdown,0.003303,low
adverse_childhood_experiences,emotional_capacity,0.000000,low
adverse_childhood_experiences,emotional_carryover,0.000645,low
adverse_childhood_experiences,emotional_cycle,0.001660,low
adverse_childhood_experiences,emotional_disconnection,0.000000,low
adverse_childhood_experiences,emotional_distress,0.003293,low
adverse_childhood_experiences,emotional_dysregulation,0.057950,uncertain
adverse_childhood_experiences,emotional_emptiness,0.001646,low
adverse_childhood_experiences,emotional_energy,0.000000,low
adverse_childhood_experiences,emotional_exhaustion,0.000000,low
adverse_childhood_experiences,emotional_guardedness,0.000000,low
adverse_childhood_experiences,emotional_heaviness,0.000009,low
adverse_childhood_experiences,emotional_insecurity,0.000000,low
adverse_childhood_experiences,emotional_instability,0.138386,high
adverse_childhood_experiences,emotional_intensity,0.000000,low
adverse_childhood_experiences,emotional_management,0.009714,low
adverse_childhood_experiences,emotional_overwhelm,0.000000,low
adverse_childhood_experiences,emotional_persistence,0.000000,low
adverse_childhood_experiences,emotional_protection,0.000000,low
adverse_childhood_experiences,emotional_reactivity,0.000284,low
adverse_childhood_experiences,emotional_recovery,0.000000,low
adverse_childhood_experiences,emotional_resilience,0.000000,low
adverse_childhood_experiences,emotional_safety,0.000000,low
adverse_childhood_experiences,emotional_scarring,0.000087,low
adverse_childhood_experiences,emotional_shutdown,0.000000,low
adverse_childhood_experiences,emotional_stability,0.000757,low
adverse_childhood_experiences,emotional_struggle,0.001391,low
adverse_childhood_experiences,emotional_suppression,0.000000,low
adverse_childhood_experiences,emotional_tension,0.000714,low
adverse_childhood_experiences,emotional_triggers,0.000000,low
adverse_childhood_experiences,emotional_unsettledness,0.000015,low
adverse_childhood_experiences,energy_depletion,0.000000,low
adverse_childhood_experiences,energy_expenditure,0.000000,low
adverse_childhood_experiences,energy_level,0.000000,low
adverse_childhood_experiences,engagement_effort_aversion,0.000000,low
adverse_childhood_experiences,engagement_in_hobbies,0.000000,low
adverse_childhood_experiences,engagement_with_world,0.000000,low
adverse_childhood_experiences,environmental_change,0.000000,low
adverse_childhood_experiences,environmental_control,0.000000,low
adverse_childhood_experiences,environmental_disruption,0.000000,low
adverse_childhood_experiences,environmental_instability,0.000000,low
adverse_childhood_experiences,environmental_safety,0.001359,low
adverse_childhood_experiences,environmental_scanning,0.000004,low
adverse_childhood_experiences,environmental_stress,0.001412,low
adverse_childhood_experiences,environmental_unsafety,0.000000,low
adverse_childhood_experiences,exercise_routine,0.000000,low
adverse_childhood_experiences,exhaustion,0.000000,low
adverse_childhood_experiences,external_demands,0.000000,low
adverse_childhood_experiences,external_pressure,0.000000,low
adverse_childhood_experiences,family_support,0.000000,low
adverse_childhood_experiences,fear,0.000000,low
adverse_childhood_experiences,fear_of_abandonment,0.000000,low
adverse_childhood_experiences,fear_of_chaos,0.000000,low
adverse_childhood_experiences,fear_of_failure,0.000000,low
adverse_childhood_experiences,fear_of_triggering_others,0.000000,low
adverse_childhood_experiences,fear_of_vulnerability,0.000000,low
adverse_childhood_experiences,feeling_trapped,0.000000,low
adverse_childhood_experiences,feeling_unsafe,0.001502,low
adverse_childhood_experiences,feeling_unsupported,0.001660,low
adverse_childhood_experiences,financial_stress,0.006237,low
adverse_childhood_experiences,focus,0.000000,low
adverse_childhood_experiences,functional_impairment,0.000000,low
adverse_childhood_experiences,gardening_hobby,0.000000,low
adverse_childhood_experiences,geographic_location,0.000000,low
adverse_childhood_experiences,geographic_relocation,0.000000,low
adverse_childhood_experiences,health_consciousness,0.000000,low
adverse_childhood_experiences,high_alert_state,0.007970,low
adverse_childhood_experiences,home_environmental_stress,0.000000,low
adverse_childhood_experiences,hopelessness,0.000000,low
adverse_childhood_experiences,impulsivity,0.000000,low
adverse_childhood_experiences,independent_living,0.000000,low
adverse_childhood_experiences,insecurity,0.001430,low
adverse_childhood_experiences,instability,0.013829,low
adverse_childhood_experiences,instability_in_early_years,0.000026,low
adverse_childhood_experiences,internal_alarm_management,0.000000,low
adverse_childhood_experiences,internal_conflict,0.000000,low
adverse_childhood_experiences,internal_instability,0.000000,low
adverse_childhood_experiences,internal_map,0.000000,low
adverse_childhood_experiences,internal_momentum,0.000000,low
adverse_childhood_experiences,internal_noise,0.000000,low
adverse_childhood_experiences,internal_restlessness,0.000000,low
adverse_childhood_experiences,internal_strain,0.000000,low
adverse_childhood_experiences,internalized_negativity,0.000924,low
adverse_childhood_experiences,internalized_threat_response,0.000000,low
adverse_childhood_experiences,intrusive_thoughts,0.000000,low
adverse_childhood_experiences,lack_of_control,0.001641,low
adverse_childhood_experiences,lack_of_peace,0.000266,low
adverse_childhood_experiences,lack_of_purpose,0.000000,low
adverse_childhood_experiences,lack_of_safety,0.000709,low
adverse_childhood_experiences,life_changes,0.000000,low
adverse_childhood_experiences,life_demand_balance,0.000000,low
adverse_childhood_experiences,life_demands,0.000000,low
adverse_childhood_experiences,life_stress,0.013544,low
adverse_childhood_experiences,living_situation,0.000000,low
adverse_childhood_experiences,loneliness,0.000000,low
adverse_childhood_experiences,loss_of_balance,0.000000,low
adverse_childhood_experiences,loss_of_control,0.000842,low
adverse_childhood_experiences,loss_of_drive,0.000000,low
adverse_childhood_experiences,loss_of_emotional_control,0.000000,low
adverse_childhood_experiences,loss_of_energy,0.000000,low
adverse_childhood_experiences,loss_of_interest,0.000000,low
adverse_childhood_experiences,low_energy,0.000000,low
adverse_childhood_experiences,marital_tension,0.000000,low
adverse_childhood_experiences,mental_demands,0.000000,low
adverse_childhood_experiences,mental_distraction,0.000000,low
adverse_childhood_experiences,mental_focus,0.000000,low
adverse_childhood_experiences,mental_load,0.000000,low
adverse_childhood_experiences,mental_looping,0.000000,low
adverse_childhood_experiences,mental_preoccupation,0.000000,low
adverse_childhood_experiences,mental_rehearsal,0.000000,low
adverse_childhood_experiences,mental_repetition,0.000048,low
adverse_childhood_experiences,mental_rumination,0.000714,low
adverse_childhood_experiences,mental_struggle,0.000000,low
adverse_childhood_experiences,mental_volatility,0.000000,low
adverse_childhood_experiences,need_for_control,0.000893,low
adverse_childhood_experiences,need_for_safety,0.000144,low
adverse_childhood_experiences,need_for_security,0.000000,low
adverse_childhood_experiences,negative_interactions,0.000000,low
adverse_childhood_experiences,negative_outlook_on_future,0.000000,low
adverse_childhood_experiences,negative_thought_patterns,0.000000,low
adverse_childhood_experiences,new_environment,0.000000,low
adverse_childhood_experiences,obligation_overload,0.000000,low
adverse_childhood_experiences,obligations,0.000000,low
adverse_childhood_experiences,obsessive_behavior,0.000000,low
adverse_childhood_experiences,obsessive_thinking,0.000000,low
adverse_childhood_experiences,occupation,0.000000,low
adverse_childhood_experiences,operating_capacity,0.000531,low
adverse_childhood_experiences,painting,0.000000,low
adverse_childhood_experiences,painting_miniatures,0.000000,low
adverse_childhood_experiences,parental_volatility,0.000000,low
adverse_childhood_experiences,past_shaping_present,0.000714,low
adverse_childhood_experiences,past_trauma,0.000271,low
adverse_childhood_experiences,patterned_behavior,0.000003,low
adverse_childhood_experiences,peace,0.000057,low
adverse_childhood_experiences,perceived_current_environment,0.000000,low
adverse_childhood_experiences,perceived_failure,0.000000,low
adverse_childhood_experiences,perceived_lack_of_control,0.000000,low
adverse_childhood_experiences,perceived_progress_towards_goals,0.000000,low
adverse_childhood_experiences,perception_of_world,0.000715,low
adverse_childhood_experiences,perfectionism,0.000000,low
adverse_childhood_experiences,permanent_tension,0.000715,low
adverse_childhood_experiences,perpetual_strain,0.000251,low
adverse_childhood_experiences,persistence,0.000000,low
adverse_childhood_experiences,persistent_anxiety,0.000000,low
adverse_childhood_experiences,persistent_sense_of_instability,0.000000,low
adverse_childhood_experiences,persistent_weight,0.001659,low
adverse_childhood_experiences,pessimistic_expectations,0.000715,low
adverse_childhood_experiences,physical_health,0.000000,low
adverse_childhood_experiences,physical_sensation_of_anxiety,0.000000,low
adverse_childhood_experiences,physical_symptoms,0.000000,low
adverse_childhood_experiences,planning_ineffectiveness,0.000000,low
adverse_childhood_experiences,poor_social_connections,0.000000,low
adverse_childhood_experiences,poor_work_life_balance,0.000000,low
adverse_childhood_experiences,pottery_hobby,0.000000,low
adverse_childhood_experiences,powerlessness,0.000000,low
adverse_childhood_experiences,preference_for_alone_time,0.000000,low
adverse_childhood_experiences,preoccupation_with_past,0.000000,low
adverse_childhood_experiences,pressure_handling_difficulty,0.000715,low
adverse_childhood_experiences,pressure_sensitivity,0.000713,low
adverse_childhood_experiences,productivity,0.000000,low
adverse_childhood_experiences,projected_calm,0.000000,low
adverse_childhood_experiences,reactive_behavior,0.000000,low
adverse_childhood_experiences,reflective_thinking,0.000000,low
adverse_childhood_experiences,regret,0.000000,low
adverse_childhood_experiences,relationship_stress,0.000000,low
adverse_childhood_experiences,relaxation,0.000000,low
adverse_childhood_experiences,relaxation_ability,0.000000,low
adverse_childhood_experiences,relaxation_difficulty,0.000715,low
adverse_childhood_experiences,residential_location,0.000000,low
adverse_childhood_experiences,responsibility,0.000000,low
adverse_childhood_experiences,restlessness,0.000435,low
adverse_childhood_experiences,rigid_control,0.000000,low
adverse_childhood_experiences,role_playing,0.000000,low
adverse_childhood_experiences,sadness,0.000000,low
adverse_childhood_experiences,safety_perspective,0.000713,low
adverse_childhood_experiences,schedule_management,0.000000,low
adverse_childhood_experiences,security,0.000002,low
adverse_childhood_experiences,security_concerns,0.000713,low
adverse_childhood_experiences,security_insecurity,0.000000,low
adverse_childhood_experiences,security_need,0.000000,low
adverse_childhood_experiences,self_care,0.000000,low
adverse_childhood_experiences,self_care_activity,0.000000,low
adverse_childhood_experiences,self_care_effort,0.000000,low
adverse_childhood_experiences,self_care_efforts,0.000000,low
adverse_childhood_experiences,self_control_difficulty,0.000000,low
adverse_childhood_experiences,self_criticism,0.000000,low
adverse_childhood_experiences,self_distancing,0.000000,low
adverse_childhood_experiences,self_distraction,0.000000,low
adverse_childhood_experiences,self_focus,0.000000,low
adverse_childhood_experiences,self_identification_with_past_patterns,0.000000,low
adverse_childhood_experiences,self_management,0.000000,low
adverse_childhood_experiences,self_perceived_failure,0.000000,low
adverse_childhood_experiences,self_protection,0.000527,low
adverse_childhood_experiences,self_protection_patterns,0.000000,low
adverse_childhood_experiences,self_recognition,0.000000,low
adverse_childhood_experiences,self_reconciliation,0.000000,low
adverse_childhood_experiences,self_reflection,0.000699,low
adverse_childhood_experiences,self_reliance,0.000752,low
adverse_childhood_experiences,self_sabotaging_behavior,0.000168,low
adverse_childhood_experiences,sense_of_security,0.000709,low
adverse_childhood_experiences,sleep_deprivation,0.000000,low
adverse_childhood_experiences,sleep_disturbance,0.000000,low
adverse_childhood_experiences,sleep_quality,0.000000,low
adverse_childhood_experiences,social_anxiety,0.000000,low
adverse_childhood_experiences,social_commitment,0.000000,low
adverse_childhood_experiences,social_concealment,0.000000,low
adverse_childhood_experiences,social_connection,0.000000,low
adverse_childhood_experiences,social_interaction_impact,0.000000,low
adverse_childhood_experiences,social_isolation,0.000000,low
adverse_childhood_experiences,stability,0.000172,low
adverse_childhood_experiences,stress,0.072027,high
adverse_childhood_experiences,struggle_to_find_peace,0.002760,low
adverse_childhood_experiences,struggle_with_contentment,0.004467,low
adverse_childhood_experiences,struggle_with_peace,0.003632,low
adverse_childhood_experiences,struggle_with_purpose,0.000811,low
adverse_childhood_experiences,survival_mode,0.003281,low
adverse_childhood_experiences,survival_pattern,0.000715,low
adverse_childhood_experiences,task_focus,0.000000,low
adverse_childhood_experiences,temperament,0.000096,low
adverse_childhood_experiences,therapeutic_activity,0.000000,low
adverse_childhood_experiences,time_demands,0.000000,low
adverse_childhood_experiences,time_management,0.000000,low
adverse_childhood_experiences,trauma,0.000000,low
adverse_childhood_experiences,travel,0.000000,low
adverse_childhood_experiences,trust_issues,0.001093,low
adverse_childhood_experiences,uncertainty,0.000000,low
adverse_childhood_experiences,unhealthy_coping,0.000130,low
adverse_childhood_experiences,unpredictable_outbursts,0.000000,low
adverse_childhood_experiences,unrealistic_expectations,0.000000,low
adverse_childhood_experiences,unsafe_environment,0.000000,low
adverse_childhood_experiences,unstable_emotional_state,0.000357,low
adverse_childhood_experiences,upbringing_influence_on_mood,0.001637,low
adverse_childhood_experiences,vivid_memories,0.000715,low
adverse_childhood_experiences,void_left_by_childhood,0.001659,low
adverse_childhood_experiences,volatility,0.000000,low
adverse_childhood_experiences,vulnerability,0.000000,low
adverse_childhood_experiences,work_family_obligations,0.000000,low
adverse_childhood_experiences,work_performance,0.000000,low
adverse_childhood_experiences,workplace_friction,0.000000,low
adverse_childhood_experiences,yoga_practice,0.000000,low
adverse_environmental_factors,adult_pressure,0.000000,low
adverse_environmental_factors,adverse_childhood_experiences,0.000000,low
adverse_environmental_factors,adversity,0.000000,low
adverse_environmental_factors,analytical_thinking,0.000000,low
adverse_environmental_factors,anger,0.000000,low
adverse_environmental_factors,anxiety,0.000000,low
adverse_environmental_factors,anxiety_aftermath,0.000000,low
adverse_environmental_factors,anxiety_in_adult_relationships,0.000000,low
adverse_environmental_factors,atmosphere_management,0.000000,low
adverse_environmental_factors,avoidance,0.000000,low
adverse_environmental_factors,basic_security,0.000000,low
adverse_environmental_factors,behavioral_adjustment,0.000000,low
